turkid,label_category,condition,memory_avg,memory_min,below_true_min,search_length,paid_price,excluded
R_1Qo6sVAahh6hUCT,Colorado,Higher dispersion,0.0,260.0,0,6,320,No
R_1pFeFqEp4EVueRK,Florida,Equal dispersion,640.0,240.0,0,1,340,No
R_RJHxXN9SBPYumGZ,Colorado,Higher dispersion,0.0,260.0,0,3,260,No
R_10YuLK03edvplx6,Colorado,Equal dispersion,0.0,200.0,1,3,260,No
R_3J3CsYbgR2b2IBu,Florida,Equal dispersion,640.0,300.0,0,3,260,No
R_7QloTzQMzm3N3Ed,Colorado,Higher dispersion,0.0,280.0,0,1,340,No
R_2U5vHsyjy9CwFmZ,Colorado,Higher dispersion,0.0,240.0,0,3,260,No
R_2t9Zyw1mIJzktST,Florida,Equal dispersion,640.0,260.0,0,3,260,No
R_3Jxhdh7KkLNhp3i,Florida,Higher dispersion,620.0,180.0,1,3,260,No
R_2wdkHY2eSvO8ZD3,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_4SpgNtArABYdsAh,Florida,Equal dispersion,640.0,240.0,0,3,260,No
R_ezzTG77pCtlHyaB,Florida,Higher dispersion,600.0,140.0,1,3,260,No
R_byBUWHvALdf7UQx,Florida,Higher dispersion,500.0,230.0,1,1,340,No
R_yUrQ3LrOY4SZiKd,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_1d4ExGEWfzu9tOe,Florida,Equal dispersion,640.0,260.0,0,2,320,No
R_XpoW8P89j7kc8p3,Florida,Higher dispersion,600.0,240.0,0,3,260,No
R_W9jNzmQVMuko4O5,Florida,Equal dispersion,560.0,240.0,0,3,260,No
R_3R9D19ertjANiCz,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_Y0k5LbuyBMroich,Florida,Higher dispersion,600.0,260.0,0,6,320,No
R_3qkA8af9eSDJtmi,Colorado,Higher dispersion,0.0,200.0,1,3,260,No
R_2xys2OWLW9c8VP8,Florida,Equal dispersion,600.0,260.0,0,3,260,No
R_Rwu5YuIXTnA3Nh7,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_3MPxBEMLIB6QnPD,Florida,Higher dispersion,600.0,280.0,0,2,320,No
R_1Itmzi0ORExscsl,Florida,Equal dispersion,600.0,260.0,0,3,260,No
R_2sRBpaqW6zIf0jg,Florida,Equal dispersion,720.0,260.0,0,1,340,No
R_vMq8FJ0Bzdx4OBz,Colorado,Higher dispersion,0.0,280.0,0,2,320,No
R_SB4K7FohyjVBroJ,Florida,Equal dispersion,640.0,260.0,0,6,320,No
