startdate,enddate,bonusamount,workerid,box_opened,bonusamountnumeric,memory_max,memory_max_recoded,condition,label_category,excluded,excluded_if_recoded
16/07/2019 22:27,16/07/2019 22:36,32¢,ADTE9AX9JPG2W,5,32.0,0.038,3.8,Equal dispersion,Blue,Yes,Yes
16/07/2019 22:34,16/07/2019 22:36,32¢,A1O7NHQ5GTT78D,5,32.0,40.0,40.0,Equal dispersion,Blue,No,No
16/07/2019 22:34,16/07/2019 22:37,38¢,AGN0NFS1UPJUB,2,38.0,0.4,40.0,Equal dispersion,Red,Yes,No
16/07/2019 22:34,16/07/2019 22:37,38¢,A78YO84WC60XI,2,38.0,40.0,40.0,Higher dispersion,Blue,No,No
16/07/2019 22:35,16/07/2019 22:38,30¢,A30USL7QZZXK1X,1,30.0,36.0,36.0,Equal dispersion,Red,No,No
16/07/2019 22:35,16/07/2019 22:38,32¢,A3Q1PLZX2L0O57,5,32.0,50.0,50.0,Higher dispersion,Red,No,No
16/07/2019 22:36,16/07/2019 22:38,32¢,A27JB6XHE7PAXQ,5,32.0,48.0,48.0,Higher dispersion,Red,No,No
16/07/2019 22:35,16/07/2019 22:38,38¢,AA7VEIMBCE5DQ,2,38.0,0.4,40.0,Equal dispersion,Blue,Yes,No
16/07/2019 22:35,16/07/2019 22:39,30¢,A1Q8BJP8RU520J,1,30.0,52.0,52.0,Higher dispersion,Blue,No,No
16/07/2019 22:36,16/07/2019 22:40,30¢,A3JY5D1Q0LY34G,1,30.0,50.0,50.0,Higher dispersion,Red,No,No
16/07/2019 22:37,16/07/2019 22:40,38¢,A1DAKA80RAIMDK,2,38.0,40.0,40.0,Equal dispersion,Red,No,No
16/07/2019 22:37,16/07/2019 22:40,38¢,A2ZZ7GUR0MNWDC,2,38.0,34.0,34.0,Equal dispersion,Blue,No,No
16/07/2019 22:37,16/07/2019 22:40,32¢,A2P5FT77HV12PP,5,32.0,48.0,48.0,Higher dispersion,Blue,No,No
16/07/2019 22:39,16/07/2019 22:41,30¢,A1BNW7HYN272CB,1,30.0,38.0,38.0,Equal dispersion,Red,No,No
16/07/2019 22:40,16/07/2019 22:42,32¢,A2CQSIF1SC9EKL,5,32.0,36.0,36.0,Equal dispersion,Blue,No,No
16/07/2019 22:41,16/07/2019 22:44,30¢,AS9YS7N0JC7XA,1,30.0,40.0,40.0,Higher dispersion,Red,No,No
16/07/2019 22:43,16/07/2019 22:45,38¢,A1302M0ITC18M,2,38.0,40.0,40.0,Higher dispersion,Blue,No,No
16/07/2019 22:43,16/07/2019 22:46,32¢,A6AAAG3KQ7XXV,5,32.0,32.0,32.0,Higher dispersion,Blue,No,No
16/07/2019 22:43,16/07/2019 22:47,38¢,A3HK6CGL43SQIA,2,38.0,50.0,50.0,Higher dispersion,Red,No,No
16/07/2019 22:44,16/07/2019 22:47,38¢,A2GO566CLTSHAT,2,38.0,40.0,40.0,Equal dispersion,Blue,No,No
16/07/2019 22:45,16/07/2019 22:48,32¢,ABX075FF0MKPY,5,32.0,40.0,40.0,Equal dispersion,Red,No,No
16/07/2019 22:45,16/07/2019 22:48,38¢,AJUBLPSY2ZZU7,2,38.0,38.0,38.0,Equal dispersion,Blue,No,No
